,Regiao,Sigla_Estado,produto,Area,Quantidade_de_contrato,Valor_concedido(em reais)
0,SUL,RS,CANA-DE-AÇUCAR,"240,79",48.0,"732.751,44"
1,SUL,PR,CANA-DE-AÇUCAR,"15.847,28",281.0,"55.965.386,43"
2,SUL,SC,CANA-DE-AÇUCAR,"19,43",2.0,"55.500,00"
3,CENTRO-OESTE,MT,CANA-DE-AÇUCAR,"14.782,61",55.0,"53.107.291,93"
4,CENTRO-OESTE,GO,CANA-DE-AÇUCAR,"81.751,42",359.0,"258.293.156,89"
5,CENTRO-OESTE,MS,CANA-DE-AÇUCAR,"40.668,87",81.0,"146.630.983,18"
6,SUDESTE,MG,CANA-DE-AÇUCAR,"99.711,31",819.0,"392.424.886,00"
7,SUDESTE,SP,CANA-DE-AÇUCAR,"476.420,40",6.046,"1.846.057.897,55"
8,SUDESTE,ES,CANA-DE-AÇUCAR,"1.263,39",17.0,"4.331.585,52"
9,SUDESTE,RJ,CANA-DE-AÇUCAR,"772,72",13.0,"1.886.139,70"
10,NORDESTE,BA,CANA-DE-AÇUCAR,"1.061,12",11.0,"3.754.477,66"
11,NORDESTE,MA,CANA-DE-AÇUCAR,"10.119,75",4.0,"37.166.637,33"
12,NORDESTE,PI,CANA-DE-AÇUCAR,"4.961,63",9.0,"18.430.604,09"
13,NORDESTE,SE,CANA-DE-AÇUCAR,"177,43",5.0,"502.834,25"
14,NORDESTE,PE,CANA-DE-AÇUCAR,"13.833,57",210.0,"43.542.384,46"
15,NORDESTE,AL,CANA-DE-AÇUCAR,"21.318,69",304.0,"68.942.333,29"
16,NORDESTE,PB,CANA-DE-AÇUCAR,"16.526,46",157.0,"57.706.210,31"
17,NORDESTE,CE,CANA-DE-AÇUCAR,"16,40",3.0,"58.330,70"
18,NORDESTE,RN,CANA-DE-AÇUCAR,"666,58",20.0,"2.368.925,07"
19,NORTE,TO,CANA-DE-AÇUCAR,"207,90",1.0,"700.000,00"
20,NORTE,RR,CANA-DE-AÇUCAR,"1,50",1.0,"3.066,12"
