,Regiao,Sigla_Estado,produto,Area,Quantidade_de_contrato,Valor_concedido(em reais)
0,SUL,RS,CANA-DE-AÇUCAR,"197,73",39.0,"1.134.199,99"
1,SUL,PR,CANA-DE-AÇUCAR,"7.045,20",172.0,"66.546.537,98"
2,SUL,SC,CANA-DE-AÇUCAR,"23,95",4.0,"199.407,50"
3,CENTRO-OESTE,MT,CANA-DE-AÇUCAR,"12.658,88",48.0,"87.463.147,20"
4,CENTRO-OESTE,GO,CANA-DE-AÇUCAR,"57.962,78",239.0,"361.012.354,75"
5,CENTRO-OESTE,MS,CANA-DE-AÇUCAR,"9.203,47",63.0,"48.269.984,01"
6,SUDESTE,MG,CANA-DE-AÇUCAR,"67.471,09",597.0,"560.049.129,30"
7,SUDESTE,SP,CANA-DE-AÇUCAR,"374.887,75",5.222,"2.572.464.651,31"
8,SUDESTE,ES,CANA-DE-AÇUCAR,"5.306,88",41.0,"28.525.845,78"
9,SUDESTE,RJ,CANA-DE-AÇUCAR,"507,81",10.0,"2.640.549,36"
10,NORDESTE,BA,CANA-DE-AÇUCAR,"1.941,70",20.0,"11.965.249,31"
11,NORDESTE,MA,CANA-DE-AÇUCAR,"11.316,74",4.0,"83.822.066,61"
12,NORDESTE,PI,CANA-DE-AÇUCAR,"4.876,29",7.0,"19.470.695,32"
13,NORDESTE,SE,CANA-DE-AÇUCAR,"794,44",30.0,"4.732.461,71"
14,NORDESTE,PE,CANA-DE-AÇUCAR,"34.806,24",281.0,"155.204.566,13"
15,NORDESTE,AL,CANA-DE-AÇUCAR,"40.020,25",448.0,"187.011.368,12"
16,NORDESTE,PB,CANA-DE-AÇUCAR,"19.838,35",207.0,"104.512.713,07"
17,NORDESTE,CE,CANA-DE-AÇUCAR,"23,63",5.0,"109.430,76"
18,NORDESTE,RN,CANA-DE-AÇUCAR,"3.337,02",25.0,"14.033.058,90"
19,NORTE,PA,CANA-DE-AÇUCAR,"2.173,79",3.0,"16.977.769,16"
