,Regiao,Sigla_Estado,produto,Area,Quantidade_de_contrato,Valor_concedido(em reais)
0,SUL,RS,CANA-DE-AÇUCAR,"68,14",9.0,"371.366,50"
1,SUL,PR,CANA-DE-AÇUCAR,"3.381,77",89.0,"20.757.366,02"
2,SUL,SC,CANA-DE-AÇUCAR,"15,98",2.0,"179.940,00"
3,CENTRO-OESTE,GO,CANA-DE-AÇUCAR,"37.474,97",106.0,"280.282.855,03"
4,CENTRO-OESTE,MT,CANA-DE-AÇUCAR,"3.147,84",11.0,"19.563.798,93"
5,CENTRO-OESTE,MS,CANA-DE-AÇUCAR,"27.662,94",37.0,"323.012.862,80"
6,SUDESTE,MG,CANA-DE-AÇUCAR,"26.824,98",236.0,"263.148.066,59"
7,SUDESTE,SP,CANA-DE-AÇUCAR,"162.807,21",2.002,"1.329.475.691,71"
8,SUDESTE,ES,CANA-DE-AÇUCAR,"3.667,75",22.0,"22.584.791,09"
9,SUDESTE,RJ,CANA-DE-AÇUCAR,"317,84",10.0,"2.169.159,97"
10,NORDESTE,BA,CANA-DE-AÇUCAR,"5.422,36",16.0,"46.160.608,06"
11,NORDESTE,MA,CANA-DE-AÇUCAR,"1.434,38",4.0,"7.465.064,98"
12,NORDESTE,PI,CANA-DE-AÇUCAR,"5.175,57",9.0,"25.109.653,60"
13,NORDESTE,SE,CANA-DE-AÇUCAR,"582,00",21.0,"4.219.230,53"
14,NORDESTE,PE,CANA-DE-AÇUCAR,"22.643,64",238.0,"126.281.362,25"
15,NORDESTE,AL,CANA-DE-AÇUCAR,"23.580,01",318.0,"116.699.625,96"
16,NORDESTE,PB,CANA-DE-AÇUCAR,"13.233,40",140.0,"75.270.519,35"
17,NORDESTE,RN,CANA-DE-AÇUCAR,"2.768,86",21.0,"10.506.464,86"
18,NORTE,TO,CANA-DE-AÇUCAR,"7.534,80",2.0,"41.148.143,69"
19,NORTE,PA,CANA-DE-AÇUCAR,"3.538,62",2.0,"20.995.155,00"
