,Regiao,Sigla_Estado,produto,Area,Quantidade_de_contrato,Valor_concedido(em reais)
0,SUL,RS,CANA-DE-AÇUCAR,"218,14",43.0,"682.038,16"
1,SUL,PR,CANA-DE-AÇUCAR,"16.583,56",243.0,"66.647.637,22"
2,SUL,SC,CANA-DE-AÇUCAR,"30,08",4.0,"104.508,58"
3,CENTRO-OESTE,MT,CANA-DE-AÇUCAR,"14.547,29",58.0,"59.484.027,75"
4,CENTRO-OESTE,GO,CANA-DE-AÇUCAR,"78.984,98",305.0,"272.524.172,89"
5,CENTRO-OESTE,MS,CANA-DE-AÇUCAR,"16.395,71",68.0,"57.796.629,31"
6,SUDESTE,MG,CANA-DE-AÇUCAR,"86.557,52",698.0,"379.585.872,93"
7,SUDESTE,SP,CANA-DE-AÇUCAR,"417.181,55",5.645,"1.742.309.432,62"
8,SUDESTE,ES,CANA-DE-AÇUCAR,"1.298,38",14.0,"4.407.797,72"
9,SUDESTE,RJ,CANA-DE-AÇUCAR,"940,18",10.0,"2.534.029,84"
10,NORDESTE,BA,CANA-DE-AÇUCAR,"6.702,12",16.0,"25.834.897,09"
11,NORDESTE,MA,CANA-DE-AÇUCAR,"11.889,59",3.0,"34.166.637,33"
12,NORDESTE,PI,CANA-DE-AÇUCAR,"4.750,75",6.0,"17.636.316,29"
13,NORDESTE,SE,CANA-DE-AÇUCAR,"242,17",16.0,"894.572,67"
14,NORDESTE,PE,CANA-DE-AÇUCAR,"15.862,72",212.0,"56.314.637,54"
15,NORDESTE,AL,CANA-DE-AÇUCAR,"24.063,92",337.0,"89.444.022,64"
16,NORDESTE,PB,CANA-DE-AÇUCAR,"18.449,27",161.0,"64.982.572,63"
17,NORDESTE,RN,CANA-DE-AÇUCAR,"2.701,62",21.0,"10.815.966,71"
18,NORDESTE,CE,CANA-DE-AÇUCAR,"6,70",2.0,"28.714,45"
