,Regiao,Sigla_Estado,produto,Area,Quantidade_de_contrato,Valor_concedido(em reais)
0,SUL,RS,CANA-DE-AÇUCAR,"210,80",31.0,"841.404,42"
1,SUL,PR,CANA-DE-AÇUCAR,"7.988,59",172.0,"36.002.968,17"
2,SUL,SC,CANA-DE-AÇUCAR,"24,62",3.0,"135.387,50"
3,CENTRO-OESTE,MT,CANA-DE-AÇUCAR,"13.985,75",57.0,"70.712.389,22"
4,CENTRO-OESTE,GO,CANA-DE-AÇUCAR,"59.055,28",247.0,"259.310.106,36"
5,CENTRO-OESTE,MS,CANA-DE-AÇUCAR,"21.706,39",81.0,"60.076.239,42"
6,SUDESTE,MG,CANA-DE-AÇUCAR,"77.784,13",595.0,"416.030.691,53"
7,SUDESTE,SP,CANA-DE-AÇUCAR,"416.965,43",5.196,"1.992.477.599,57"
8,SUDESTE,ES,CANA-DE-AÇUCAR,"2.483,50",21.0,"9.745.234,53"
9,SUDESTE,RJ,CANA-DE-AÇUCAR,"504,59",7.0,"1.885.292,79"
10,NORDESTE,BA,CANA-DE-AÇUCAR,"2.093,73",14.0,"9.299.016,44"
11,NORDESTE,MA,CANA-DE-AÇUCAR,"92,18",2.0,"352.229,33"
12,NORDESTE,PI,CANA-DE-AÇUCAR,"5.211,21",8.0,"20.449.292,21"
13,NORDESTE,SE,CANA-DE-AÇUCAR,"328,04",15.0,"1.402.442,53"
14,NORDESTE,PE,CANA-DE-AÇUCAR,"35.186,69",285.0,"116.166.540,97"
15,NORDESTE,AL,CANA-DE-AÇUCAR,"32.993,09",358.0,"132.581.075,52"
16,NORDESTE,PB,CANA-DE-AÇUCAR,"16.669,99",148.0,"63.250.551,03"
17,NORDESTE,RN,CANA-DE-AÇUCAR,"3.832,01",21.0,"15.751.103,98"
18,NORDESTE,CE,CANA-DE-AÇUCAR,"12,50",3.0,"56.810,80"
19,NORTE,TO,CANA-DE-AÇUCAR,"321,25",1.0,"1.153.355,50"
