"data";"valor"
"01/03/2019";"3,28"
"01/04/2019";"3,25"
"01/05/2019";"3,26"
"01/06/2019";"3,20"
"01/07/2019";"3,32"
"01/08/2019";"3,35"
"01/09/2019";"3,32"
"01/10/2019";"3,30"
"01/11/2019";"3,24"
"01/12/2019";"3,17"
"01/01/2020";"3,24"
"01/02/2020";"3,33"
"01/03/2020";"3,40"
"01/04/2020";"3,52"
"01/05/2020";"3,51"
"01/06/2020";"3,13"
"01/07/2020";"2,97"
"01/08/2020";"2,77"
"01/09/2020";"2,56"
"01/10/2020";"2,43"
"01/11/2020";"2,32"
"01/12/2020";"2,26"
"01/01/2021";"2,31"
"01/02/2021";"2,28"
"01/03/2021";"2,24"
"01/04/2021";"2,26"
"01/05/2021";"2,32"
"01/06/2021";"2,28"
"01/07/2021";"2,35"
"01/08/2021";"2,38"
"01/09/2021";"2,42"
"01/10/2021";"2,47"
"01/11/2021";"2,54"
"01/12/2021";"2,55"
"01/01/2022";"2,71"
"01/02/2022";"2,72"
"01/03/2022";"2,91"
"01/04/2022";"3,02"
"01/05/2022";"3,13"
"01/06/2022";"3,13"
"01/07/2022";"3,26"
"01/08/2022";"3,34"
"01/09/2022";"3,37"
"01/10/2022";"3,50"
"01/11/2022";"3,52"
"01/12/2022";"3,55"
"01/01/2023";"3,76"
"01/02/2023";"3,82"
"01/03/2023";"3,78"
"01/04/2023";"4,03"
"01/05/2023";"4,14"
"01/06/2023";"4,16"
"01/07/2023";"4,17"
